Tweet Username,Tweet Text,Cleaned Tweet Text,Result,ML Result
@KSHARMAAVINASH,why are some people in India praising Gen Bajwa that he wants good relations with India. He wants good relations be… https://t.co/GJBR7ydQO2,people india praising gen bajwa want good relation india want good relation,Positive,Positive
@Prateek0fficia,@VigorousFalcon @Zohaibamir203 @OSPSF @SouthAsiaIndex pakistan wants peace with india not coz it has an intention o… https://t.co/kycfcf1uVE,pakistan want peace india not coz intention,Positive,Positive
@Saanvis17,"@BirgitSippelMEP 
@AdrianVL1982 
Amid a protracted economic crisis, Pakistan's external debt &amp; obligations have nea… https://t.co/Uc092fco9U",protracted economic crisis pakistan external debt obligation nea,Negative,Negative
@LunarGuy22,"While Zia is often berated for sectarian crisis, why isn't Bhutto criticised enough for the economic mess of Pakist… https://t.co/2MqF2w9SXc",zia often berated sectarian crisis isnt bhutto criticised enough economic mess pakist,Negative,Negative
@ziodeterrent,"Although India's GDP growth &amp; industrialization is praise-worthy, it's not nearly as impressive when you consider i… https://t.co/iCJyGBlgue",india gdp growth industrialization praise worthy not nearly impressive consider,Positive,Positive
@JeevanKc111,"@BenjaminChu_ @AvaneeshKSingh @elonmusk @WallStreetSilv Idi0t, you surely are assuming Pakistan as India here.. Ind… https://t.co/QqY4btAJ5e",idit surely assuming pakistan india ind,Positive,Positive
@Kinglich_King,@atulvai04795672 Pakistan is also supplying wheat to Afghanistan and helped them in their worst situation. Btw stat… https://t.co/6TrUT9Iunv,pakistan also supplying wheat afghanistan helped worst situation btw stat,Negative,Negative
@Saanvis17,"@jawadbrp  
@SB_Bugti 
Amid a protracted economic crisis,Pakistan's external debt &amp; obligations have nearly hit $13… https://t.co/1YAOYSwfjY",protracted economic crisispakistans external debt obligation nearly hit,Negative,Neutral
@Saanvis17,"@ChrisM4Chester 
@theresa_may 
Amid a protracted economic crisis, Pakistan's external debt &amp; obligations have nearl… https://t.co/n7WR5suXzD",protracted economic crisis pakistan external debt obligation nearl,Negative,Negative
@ians_india,"Owing to the economic crisis led by political and geopolitical uncertainties, #Pakistan has become the largest reci… https://t.co/vQSlxrkDB1",owing economic crisis led political geopolitical uncertainty become largest reci,Negative,Negative
